company_name,high,low,last_price,prev_close,change,percent_gain
Ceat,"3,360.00","3,281.60","3,352.80","3,323.30",29.50,0.89
Mahanagar Gas,"1,418.90","1,380.10","1,389.10","1,376.80",12.30,0.89
Trident,31.13,30.20,30.97,30.70,0.27,0.88
Apollo Tyres,458.50,449.05,455.90,451.95,3.95,0.87
Godrej Agrovet,848.00,814.85,843.10,835.95,7.15,0.86
Sai Life Sci,835.00,820.75,831.45,824.35,7.10,0.86
Wockhardt,"1,725.00","1,672.70","1,697.30","1,682.90",14.40,0.86
Finolex Ind,209.79,204.62,209.33,207.57,1.76,0.85
Vodafone Idea,7.24,7.12,7.19,7.13,0.06,0.84
Bank of Baroda,243.38,239.02,242.26,240.34,1.92,0.8
FSN E-Co Nykaa,211.80,206.94,210.43,208.75,1.68,0.8
Inox India,"1,181.30","1,156.00","1,175.70","1,166.40",9.30,0.8
Eris Life,"1,800.00","1,746.10","1,792.10","1,778.00",14.10,0.79
Hero Motocorp,"4,334.40","4,265.60","4,325.20","4,291.10",34.10,0.79
IDBI Bank,93.45,91.80,93.02,92.30,0.72,0.78
IRCTC,738.50,727.00,735.80,730.10,5.70,0.78
IndusInd Bank,818.85,790.00,808.20,802.05,6.15,0.77
Shriram Finance,643.35,626.55,638.35,633.45,4.90,0.77
Shriram Finance,643.35,626.55,638.35,633.45,4.90,0.77
TBO Tek,"1,394.00","1,355.20","1,379.60","1,369.00",10.60,0.77
Star Health,429.35,418.10,426.75,423.60,3.15,0.74
Whirlpool,"1,399.10","1,341.60","1,389.90","1,379.70",10.20,0.74
EIH,381.50,374.05,379.00,376.25,2.75,0.73
360 ONE WAM,"1,087.00","1,059.00","1,082.40","1,074.60",7.80,0.73
360 ONE WAM,"1,087.00","1,059.00","1,082.40","1,074.60",7.80,0.73
Shipping Corp,216.02,211.34,215.43,213.89,1.54,0.72
Mah Seamless,697.00,674.30,692.60,687.80,4.80,0.7
MOTHERSON,102.69,101.00,102.59,101.88,0.71,0.7
Wipro,252.70,247.25,251.80,250.05,1.75,0.7
Bajaj Finance,894.00,873.50,886.55,880.50,6.05,0.69
Balrampur Chini,594.00,578.50,590.15,586.10,4.05,0.69
Cochin Shipyard,"1,778.00","1,717.00","1,765.50","1,753.40",12.10,0.69
Cochin Shipyard,"1,778.00","1,717.00","1,765.50","1,753.40",12.10,0.69
UNO Minda,"1,075.90","1,042.30","1,072.40","1,065.10",7.30,0.69
Supreme Ind,"4,375.00","4,300.20","4,325.40","4,295.60",29.80,0.69
Jindal Steel,989.00,973.00,984.35,977.70,6.65,0.68
APL Apollo,"1,527.60","1,494.00","1,514.90","1,504.80",10.10,0.67
HDFC Bank,"2,026.50","1,996.30","2,021.60","2,008.50",13.10,0.65
GMR Airports,90.71,89.05,90.22,89.65,0.57,0.64
Sammaan Capital,126.20,122.01,125.26,124.46,0.80,0.64
Bajaj Housing,116.27,114.59,115.92,115.20,0.72,0.63
Glenmark,"2,165.80","2,120.00","2,158.00","2,144.40",13.60,0.63
Redington,297.10,284.45,287.90,286.10,1.80,0.63
Piramal Pharma,210.50,193.25,205.61,204.35,1.26,0.62
Indian Bank,632.85,624.05,630.50,626.70,3.80,0.61
Kirloskar Bros,"1,958.40","1,905.00","1,938.40","1,926.70",11.70,0.61
United Spirits,"1,331.00","1,298.80","1,324.00","1,316.00",8.00,0.61
ABB India,"5,592.00","5,478.00","5,579.00","5,545.50",33.50,0.6
Bank of India,112.71,110.30,112.17,111.50,0.67,0.6
